Time;Strain;Strain Derivative;Reduced Relaxation Function;Reduced Relaxation Function Derivative;Elastic Response;Elastic Response Derivative;Stress
21.8;0.06;0;0.881073075;-0.003179405;2.28012;0;2.008952339
21.9;0.06;0;0.880755828;-0.003165545;2.28012;0;2.008228978
22;0.06;0;0.880439963;-0.003151755;2.28012;0;2.007508769
22.1;0.06;0;0.880125474;-0.003138036;2.28012;0;2.006791697
22.2;0.06;0;0.879812354;-0.003124386;2.28012;0;2.006077744
22.3;0.06;0;0.879500595;-0.003110805;2.28012;0;2.005366897
22.4;0.06;0;0.879190191;-0.003097294;2.28012;0;2.004659137
22.5;0.06;0;0.878881134;-0.003083851;2.28012;0;2.003954451
22.6;0.06;0;0.878573418;-0.003070477;2.28012;0;2.003252822
22.7;0.06;0;0.878267036;-0.00305717;2.28012;0;2.002554235
22.8;0.06;0;0.877961982;-0.003043931;2.28012;0;2.001858674
22.9;0.06;0;0.877658248;-0.00303076;2.28012;0;2.001166124
23;0.06;0;0.877355828;-0.003017655;2.28012;0;2.00047657
23.1;0.06;0;0.877054715;-0.003004617;2.28012;0;1.999789996
23.2;0.06;0;0.876754902;-0.002991645;2.28012;0;1.999106387
23.3;0.06;0;0.876456383;-0.002978739;2.28012;0;1.998425729
23.4;0.06;0;0.876159152;-0.002965899;2.28012;0;1.997748006
23.5;0.06;0;0.875863201;-0.002953124;2.28012;0;1.997073203
23.6;0.06;0;0.875568525;-0.002940414;2.28012;0;1.996401306
23.7;0.06;0;0.875275117;-0.002927768;2.28012;0;1.995732299
23.8;0.06;0;0.874982969;-0.002915187;2.28012;0;1.995066168
23.9;0.06;0;0.874692077;-0.002902669;2.28012;0;1.994402899
24;0.06;0;0.874402433;-0.002890215;2.28012;0;1.993742477
24.1;0.06;0;0.874114032;-0.002877825;2.28012;0;1.993084887
24.2;0.06;0;0.873826866;-0.002865497;2.28012;0;1.992430115
24.3;0.06;0;0.87354093;-0.002853232;2.28012;0;1.991778146
24.4;0.06;0;0.873256218;-0.002841029;2.28012;0;1.991128968
24.5;0.06;0;0.872972723;-0.002828888;2.28012;0;1.990482564
24.6;0.06;0;0.872690438;-0.002816809;2.28012;0;1.989838922
24.7;0.06;0;0.872409359;-0.002804791;2.28012;0;1.989198027
24.8;0.06;0;0.872129478;-0.002792834;2.28012;0;1.988559866
24.9;0.06;0;0.87185079;-0.002780938;2.28012;0;1.987924423
25;0.06;0;0.871573288;-0.002769102;2.28012;0;1.987291687
25.1;0.06;0;0.871296968;-0.002757326;2.28012;0;1.986661642
25.2;0.06;0;0.871021821;-0.002745611;2.28012;0;1.986034275
25.3;0.06;0;0.870747843;-0.002733954;2.28012;0;1.985409573
25.4;0.06;0;0.870475028;-0.002722357;2.28012;0;1.984787522
25.5;0.06;0;0.87020337;-0.002710818;2.28012;0;1.984168108
25.6;0.06;0;0.869932863;-0.002699338;2.28012;0;1.983551319
25.7;0.06;0;0.869663501;-0.002687917;2.28012;0;1.982937141
25.8;0.06;0;0.869395278;-0.002676553;2.28012;0;1.98232556
25.9;0.06;0;0.869128188;-0.002665247;2.28012;0;1.981716564
26;0.06;0;0.868862226;-0.002653999;2.28012;0;1.981110139
26.1;0.06;0;0.868597386;-0.002642807;2.28012;0;1.980506273
26.2;0.06;0;0.868333663;-0.002631672;2.28012;0;1.979904951
26.3;0.06;0;0.86807105;-0.002620594;2.28012;0;1.979306163
26.4;0.06;0;0.867809542;-0.002609572;2.28012;0;1.978709893
26.5;0.06;0;0.867549134;-0.002598606;2.28012;0;1.978116131
26.6;0.06;0;0.867289819;-0.002587695;2.28012;0;1.977524863
26.7;0.06;0;0.867031593;-0.00257684;2.28012;0;1.976936076
26.8;0.06;0;0.86677445;-0.00256604;2.28012;0;1.976349758
26.9;0.06;0;0.866518383;-0.002555294;2.28012;0;1.975765896
27;0.06;0;0.866263389;-0.002544603;2.28012;0;1.975184478
27.1;0.06;0;0.866009461;-0.002533966;2.28012;0;1.974605492
27.2;0.06;0;0.865756594;-0.002523384;2.28012;0;1.974028925
27.3;0.06;0;0.865504782;-0.002512855;2.28012;0;1.973454764
27.4;0.06;0;0.865254021;-0.002502379;2.28012;0;1.972882999
27.5;0.06;0;0.865004305;-0.002491956;2.28012;0;1.972313615
27.6;0.06;0;0.864755628;-0.002481586;2.28012;0;1.971746603
27.7;0.06;0;0.864507986;-0.002471269;2.28012;0;1.971181949
27.8;0.06;0;0.864261373;-0.002461004;2.28012;0;1.970619641
27.9;0.06;0;0.864015783;-0.002450791;2.28012;0;1.970059668
28;0.06;0;0.863771213;-0.00244063;2.28012;0;1.969502017
28.1;0.06;0;0.863527656;-0.00243052;2.28012;0;1.968946678
28.2;0.06;0;0.863285107;-0.002420462;2.28012;0;1.968393638
28.3;0.06;0;0.863043561;-0.002410454;2.28012;0;1.967842885
28.4;0.06;0;0.862803014;-0.002400498;2.28012;0;1.967294409
28.5;0.06;0;0.86256346;-0.002390591;2.28012;0;1.966748197
28.6;0.06;0;0.862324894;-0.002380735;2.28012;0;1.966204238
28.7;0.06;0;0.862087312;-0.002370929;2.28012;0;1.965662521
28.8;0.06;0;0.861850707;-0.002361172;2.28012;0;1.965123034
28.9;0.06;0;0.861615075;-0.002351465;2.28012;0;1.964585766
29;0.06;0;0.861380412;-0.002341807;2.28012;0;1.964050705
29.1;0.06;0;0.861146712;-0.002332198;2.28012;0;1.963517842
29.2;0.06;0;0.860913971;-0.002322638;2.28012;0;1.962987163
29.3;0.06;0;0.860682183;-0.002313126;2.28012;0;1.962458659
29.4;0.06;0;0.860451344;-0.002303662;2.28012;0;1.961932319
29.5;0.06;0;0.860221449;-0.002294246;2.28012;0;1.961408131
29.6;0.06;0;0.859992493;-0.002284878;2.28012;0;1.960886084
29.7;0.06;0;0.859764472;-0.002275557;2.28012;0;1.960366168
29.8;0.06;0;0.85953738;-0.002266283;2.28012;0;1.959848372
29.9;0.06;0;0.859311214;-0.002257057;2.28012;0;1.959332685
30;0.06;0;0.859085967;-0.002247877;2.28012;0;1.958819096
30.1;0.06;0;0.858861637;-0.002238743;2.28012;0;1.958307595
30.2;0.06;0;0.858638217;-0.002229656;2.28012;0;1.957798172
30.3;0.06;0;0.858415704;-0.002220615;2.28012;0;1.957290815
30.4;0.06;0;0.858194093;-0.002211619;2.28012;0;1.956785515
30.5;0.06;0;0.857973379;-0.002202669;2.28012;0;1.95628226
30.6;0.06;0;0.857753557;-0.002193764;2.28012;0;1.955781041
30.7;0.06;0;0.857534624;-0.002184905;2.28012;0;1.955281848
30.8;0.06;0;0.857316575;-0.00217609;2.28012;0;1.954784669
30.9;0.06;0;0.857099405;-0.002167319;2.28012;0;1.954289495
31;0.06;0;0.85688311;-0.002158594;2.28012;0;1.953796316
31.1;0.06;0;0.856667685;-0.002149912;2.28012;0;1.953305121
31.2;0.06;0;0.856453126;-0.002141274;2.28012;0;1.952815901
31.3;0.06;0;0.856239428;-0.00213268;2.28012;0;1.952328646
31.4;0.06;0;0.856026588;-0.002124129;2.28012;0;1.951843345
31.5;0.06;0;0.855814601;-0.002115621;2.28012;0;1.951359989
31.6;0.06;0;0.855603463;-0.002107157;2.28012;0;1.950878567
31.7;0.06;0;0.855393168;-0.002098735;2.28012;0;1.950399071
31.8;0.06;0;0.855183714;-0.002090356;2.28012;0;1.949921491
31.9;0.06;0;0.854975096;-0.002082019;2.28012;0;1.949445816
32;0.06;0;0.854767309;-0.002073724;2.28012;0;1.948972037
32.1;0.06;0;0.85456035;-0.002065472;2.28012;0;1.948500144
32.2;0.06;0;0.854354213;-0.002057261;2.28012;0;1.948030129
32.3;0.06;0;0.854148896;-0.002049091;2.28012;0;1.947561981
32.4;0.06;0;0.853944394;-0.002040963;2.28012;0;1.947095691
32.5;0.06;0;0.853740702;-0.002032876;2.28012;0;1.94663125
32.6;0.06;0;0.853537817;-0.002024829;2.28012;0;1.946168648
32.7;0.06;0;0.853335735;-0.002016824;2.28012;0;1.945707876
32.8;0.06;0;0.853134451;-0.002008858;2.28012;0;1.945248925
32.9;0.06;0;0.852933962;-0.002000933;2.28012;0;1.944791785
33;0.06;0;0.852734263;-0.001993048;2.28012;0;1.944336448
33.1;0.06;0;0.852535351;-0.001985203;2.28012;0;1.943882904
33.2;0.06;0;0.852337221;-0.001977398;2.28012;0;1.943431145
33.3;0.06;0;0.85213987;-0.001969632;2.28012;0;1.94298116
33.4;0.06;0;0.851943293;-0.001961905;2.28012;0;1.942532942
33.5;0.06;0;0.851747488;-0.001954217;2.28012;0;1.942086482
33.6;0.06;0;0.851552449;-0.001946568;2.28012;0;1.94164177
33.7;0.06;0;0.851358173;-0.001938957;2.28012;0;1.941198797
33.8;0.06;0;0.851164656;-0.001931385;2.28012;0;1.940757556
33.9;0.06;0;0.850971895;-0.001923851;2.28012;0;1.940318036
34;0.06;0;0.850779885;-0.001916355;2.28012;0;1.939880231
34.1;0.06;0;0.850588622;-0.001908897;2.28012;0;1.93944413
34.2;0.06;0;0.850398104;-0.001901477;2.28012;0;1.939009725
34.3;0.06;0;0.850208326;-0.001894094;2.28012;0;1.938577008
34.4;0.06;0;0.850019284;-0.001886748;2.28012;0;1.93814597
34.5;0.06;0;0.849830975;-0.00187944;2.28012;0;1.937716602
34.6;0.06;0;0.849643395;-0.001872168;2.28012;0;1.937288897
34.7;0.06;0;0.84945654;-0.001864933;2.28012;0;1.936862846
34.8;0.06;0;0.849270407;-0.001857734;2.28012;0;1.93643844
34.9;0.06;0;0.849084992;-0.001850572;2.28012;0;1.936015672
35;0.06;0;0.848900291;-0.001843446;2.28012;0;1.935594532
35.1;0.06;0;0.848716302;-0.001836355;2.28012;0;1.935175014
35.2;0.06;0;0.848533019;-0.001829301;2.28012;0;1.934757108
35.3;0.06;0;0.84835044;-0.001822282;2.28012;0;1.934340806
35.4;0.06;0;0.848168562;-0.001815298;2.28012;0;1.933926101
35.5;0.06;0;0.847987379;-0.00180835;2.28012;0;1.933512984
35.6;0.06;0;0.84780689;-0.001801437;2.28012;0;1.933101447
35.7;0.06;0;0.847627091;-0.001794558;2.28012;0;1.932691483
35.8;0.06;0;0.847447978;-0.001787714;2.28012;0;1.932283083
35.9;0.06;0;0.847269547;-0.001780905;2.28012;0;1.93187624
36;0.06;0;0.847091796;-0.00177413;2.28012;0;1.931470945
36.1;0.06;0;0.84691472;-0.001767389;2.28012;0;1.931067191
36.2;0.06;0;0.846738317;-0.001760682;2.28012;0;1.930664971
36.3;0.06;0;0.846562583;-0.001754008;2.28012;0;1.930264276
36.4;0.06;0;0.846387514;-0.001747369;2.28012;0;1.929865098
36.5;0.06;0;0.846213108;-0.001740763;2.28012;0;1.929467431
36.6;0.06;0;0.84603936;-0.00173419;2.28012;0;1.929071266
36.7;0.06;0;0.845866269;-0.00172765;2.28012;0;1.928676596
36.8;0.06;0;0.845693829;-0.001721143;2.28012;0;1.928283414
36.9;0.06;0;0.845522039;-0.001714669;2.28012;0;1.927891711
37;0.06;0;0.845350894;-0.001708227;2.28012;0;1.927501481
37.1;0.06;0;0.845180392;-0.001701818;2.28012;0;1.927112716
37.2;0.06;0;0.84501053;-0.001695441;2.28012;0;1.926725409
37.3;0.06;0;0.844841303;-0.001689097;2.28012;0;1.926339552
37.4;0.06;0;0.844672709;-0.001682784;2.28012;0;1.925955138
37.5;0.06;0;0.844504745;-0.001676503;2.28012;0;1.925572159
37.6;0.06;0;0.844337408;-0.001670253;2.28012;0;1.92519061
37.7;0.06;0;0.844170693;-0.001664035;2.28012;0;1.924810482
37.8;0.06;0;0.8440046;-0.001657848;2.28012;0;1.924431768
37.9;0.06;0;0.843839123;-0.001651693;2.28012;0;1.924054461
38;0.06;0;0.84367426;-0.001645568;2.28012;0;1.923678554
38.1;0.06;0;0.843510008;-0.001639474;2.28012;0;1.92330404
