;First Relaxation;;Second Relaxation;
Time;Experimental;Numerical;Experimental;Numerical
39.4;1.7884;1.918558984;1.63717;1.657454485
39.5;1.78883;1.918203252;1.63617;1.657310469
39.6;1.78743;1.917848813;1.63653;1.657166797
39.7;1.78699;1.917495658;1.63601;1.657023466
39.8;1.78682;1.917143783;1.63563;1.656880475
39.9;1.78712;1.916793179;1.6354;1.656737823
40;1.78638;1.916443842;1.63529;1.656595508
40.1;1.7867;1.916095763;1.63522;1.656453528
40.2;1.78515;1.915748939;1.63499;1.656311882
40.3;1.78491;1.915403361;1.63579;1.656170569
40.4;1.78402;1.915059023;1.63507;1.656029586
40.5;1.78468;1.914715921;1.63494;1.655888934
40.6;1.78415;1.914374046;1.63464;1.655748609
40.7;1.78411;1.914033394;1.63536;1.65560861
40.8;1.78303;1.913693957;1.63522;1.655468937
40.9;1.78267;1.913355731;1.63429;1.655329588
41;1.78278;1.913018708;1.63376;1.65519056
41.1;1.78257;1.912682883;1.63421;1.655051854
41.2;1.78261;1.91234825;1.63273;1.654913466
41.3;1.78113;1.912014802;1.63426;1.654775397
41.4;1.78203;1.911682535;1.63372;1.654637644
41.5;1.78128;1.911351441;1.63317;1.654500206
41.6;1.78056;1.911021516;1.63316;1.654363082
41.7;1.77951;1.910692752;1.6337;1.654226269
41.8;1.77931;1.910365145;1.63267;1.654089768
41.9;1.77883;1.910038689;1.63208;1.653953576
42;1.77892;1.909713378;1.63239;1.653817693
42.1;1.77824;1.909389205;1.63229;1.653682116
42.2;1.77793;1.909066166;1.6322;1.653546844
42.3;1.77787;1.908744255;1.63225;1.653411876
42.4;1.77776;1.908423466;1.6325;1.653277211
42.5;1.77675;1.908103793;1.63219;1.653142848
42.6;1.77638;1.907785232;1.63237;1.653008784
42.7;1.7761;1.907467775;1.63172;1.652875019
42.8;1.77633;1.907151419;1.6325;1.652741551
42.9;1.7755;1.906836156;1.63147;1.652608379
43;1.77459;1.906521983;1.63171;1.652475502
