;;;First Relaxation;;;Second Relaxation;;
Numerical Time;Experimental Time;Experimental;Equation 1;Equation 2;Equation 3;Equation 1;Equation 2;Equation 3
23,8;23,8;1,83883;1,707680045;1,70731825;1,707318173;2,169820917;2,169448115;2,169447853
23,9;23,9;1,84397;1,717120773;1,71415408;1,714154746;2,18219123;2,178535874;2,178535995
24;24;1,85319;1,721352523;1,720988888;1,72098881;2,187999126;2,187624429;2,187624167
24,1;24,1;1,86037;1,730790078;1,7278212;1,72782186;2,200371395;2,19671302;2,196713138
24,2;24,2;1,86695;1,735017966;1,734652504;1,734652426;2,206178998;2,205802412;2,20580215
24,3;24,3;1,8753;1,744452387;1,741481337;1,74148199;2,218553241;2,21489185;2,214891965
24,4;24,4;1,88203;1,748676451;1,748309173;1,748309096;2,224360565;2,223982094;2,223981831
24,5;24,5;1,88959;1,758107775;1,755134564;1,755135211;2,236736796;2,233072393;2,233072507
24,6;24,6;1,8964;1,762328051;1,761958971;1,761958893;2,242543856;2,242163504;2,242163242
24,7;24,7;1,90368;1,771756314;1,768780956;1,768781597;2,25492209;2,25125468;2,251254791
24,8;24,8;1,90865;1,77597284;1,775601969;1,775601892;2,2607289;2,260346672;2,260346409
24,9;24,9;1,91559;1,785398079;1,782420585;1,78242122;2,273109152;2,269438738;2,269438847
25;25;1,9215;1,78961089;1,789238241;1,789238164;2,278915727;2,278531626;2,278531363
25,1;25,1;1,93092;1,799033142;1,796053525;1,796054153;2,291298012;2,287624598;2,287624704
25,2;25,2;1,93883;1,803242275;1,802867859;1,802867782;2,297104364;2,296718396;2,296718133
25,3;25,3;1,9462;1,812661575;1,809679846;1,809680468;2,309488696;2,305812287;2,305812391
25,4;25,4;1,95408;1,816867065;1,816490895;1,816490818;2,315294841;2,314907009;2,314906746
25,5;25,5;1,96056;1,826283448;1,823299619;1,823300236;2,327681235;2,324001833;2,324001935
25,6;25,6;1,97025;1,83048533;1,830107418;1,830107341;2,333487186;2,333097494;2,333097231
25,7;25,7;1,97865;1,839898832;1,836912915;1,836913526;2,345875656;2,342193266;2,342193365
25,8;25,8;1,98284;1,844097142;1,843717499;1,843717422;2,351681426;2,351289879;2,351289616
25,9;25,9;1,99372;1,853507797;1,850519804;1,850520409;2,364071987;2,360386612;2,360386709
26;26;2,00072;1,857702569;1,857321206;1,857321129;2,369877589;2,369484191;2,369483928
26,1;26,1;2,00577;1,867110412;1,864120353;1,864120953;2,382270256;2,378581899;2,378581994
26,2;26,2;2,01498;1,871301679;1,870918609;1,870918532;2,388075704;2,387680458;2,387680195
26,3;26,3;2,02301;1,880706745;1,877714632;1,877715225;2,400470489;2,396779155;2,396779248
26,4;26,4;2,02963;1,884894541;1,884509774;1,884509697;2,406275796;2,405878707;2,405878444
26,5;26,5;2,03722;1,894296862;1,891302707;1,891303295;2,418672714;2,414978406;2,414978497
26,6;26,6;2,04389;1,898481222;1,89809477;1,898094693;2,424477893;2,424078965;2,424078702
