Time;Strain;Reduced Relaxation Function;Elastic Response;Stress;Stress by dG
487,4;0,02;0,9061441787972206;1,53;1,3864005935597477;1,5218063644555972
488,4;0,02;0,9061332298945807;1,53;1,3863838417387084;1,521848315250151
489,4;0,02;0,9061223593541395;1,53;1,3863672098118336;1,5218900852635018
490,4;0,02;0,9061115666150523;1,53;1,38635069692103;1,5219316749344982
491,4;0,02;0,9061008511204883;1,53;1,386334302214347;1,5219730847049746
492,4;0,02;0,9060902123176023;1,53;1,3863180248459317;1,5220143150196712
493,4;0,02;0,9060796496575054;1,53;1,3863018639759834;1,5220553663261822
494,4;0,02;0,9060691625952375;1,53;1,3862858187707134;1,5220962390748844
495,4;0,02;0,9060587505897387;1,53;1,3862698884023004;1,5221369337188795
496,4;0,02;0,9060484131038214;1,53;1,3862540720488468;1,5221774507139296
497,4;0,02;0,9060381496041431;1,53;1,386238368894339;1,5222177905183947
498,4;0,02;0,9060279595611778;1,53;1,386222778128602;1,5222579535931724
499,4;0,02;0,90601784244919;1,53;1,3862072989472607;1,5222979404016466
500,4;0,02;0,9060077977462067;1,53;1,3861919305516963;1,5223377514096108
501,4;0,02;0,9059978249339906;1,53;1,3861766721490056;1,5223773870852264
502,4;0,02;0,9059879234980136;1,53;1,3861615229519608;1,5224168478989584
503,4;0,02;0,90597809292743;1,53;1,386146482178968;1,5224561343235172
504,4;0,02;0,9059683327150505;1,53;1,3861315490540274;1,5224952468338036
505,4;0,02;0,9059586423573154;1,53;1,3861167228066926;1,5225341859068549
506,4;0,02;0,9059490213542695;1,53;1,3861020026720323;1,522572952021786
507,4;0,02;0,9059394692095353;1,53;1,386087387890589;1,5226115456597413
508,4;0,02;0,9059299854302885;1,53;1,3860728777083413;1,5226499673038363
509,4;0,02;0,9059205695272313;1,53;1,386058471376664;1,5226882174391025
510,4;0,02;0,9059112210145686;1,53;1,38604416815229;1,5227262965524453
511,4;0,02;0,9059019394099815;1,53;1,3860299672972718;1,5227642051325798
512,4;0,02;0,9058927242346035;1,53;1,3860158680789434;1,5228019436699907
513,4;0,02;0,9058835750129953;1,53;1,3860018697698828;1,5228395126568735
514,4;0,02;0,9058744912731204;1,53;1,3859879716478742;1,5228769125870902
